model,score,width_x,depth_x,dataset,params
resdepth,0.6692112523589294,0.5,2.0,chexpert,367493
resdepth,0.6696157911838674,0.5,2.0,chexpert,367493
resdepth,0.6851003814456236,0.75,3.0,chexpert,654341
resdepth,0.6905769432428501,0.75,3.0,chexpert,654341
resdepth,0.6853337167295954,0.75,3.0,chexpert,654341
resdepth,0.6814248805359949,0.75,3.0,chexpert,654341
resdepth,0.6857568689668867,0.75,3.0,chexpert,654341
resdepth,0.6859309540831141,0.75,3.0,chexpert,654341
resdepth,0.6841382203449553,0.75,3.0,chexpert,654341
resdepth,0.6837740257756026,0.75,3.0,chexpert,654341
resdepth,0.6871395148711198,0.75,3.0,chexpert,654341
resdepth,0.6842466727547091,0.75,3.0,chexpert,654341
resdepth,0.6902274363934271,0.75,3.0,chexpert,654341
resdepth,0.6890907446180663,0.75,3.0,chexpert,654341
resdepth,0.6844731850227624,0.75,3.0,chexpert,654341
resdepth,0.6863275581206347,0.75,3.0,chexpert,654341
resdepth,0.6874133337905619,0.75,3.0,chexpert,654341
resdepth,0.6967178724535446,1.0,4.0,chexpert,707269
resdepth,0.7011445752163085,1.0,4.0,chexpert,707269
resdepth,0.6944859347567549,1.0,4.0,chexpert,707269
resdepth,0.6950998683302791,1.0,4.0,chexpert,707269
resdepth,0.7004576039060134,1.0,4.0,chexpert,707269
resdepth,0.6941357761375828,1.0,4.0,chexpert,707269
resdepth,0.6921386991086679,1.0,4.0,chexpert,707269
resdepth,0.6988301053181815,1.0,4.0,chexpert,707269
resdepth,0.7006922084688395,1.0,4.0,chexpert,707269
resdepth,0.6984256475720187,1.0,4.0,chexpert,707269
resdepth,0.7024610471884103,1.0,4.0,chexpert,707269
resdepth,0.6965370119279909,1.0,4.0,chexpert,707269
resdepth,0.6998789437903944,1.0,4.0,chexpert,707269
resdepth,0.6963033550209646,1.0,4.0,chexpert,707269
resdepth,0.6970557469042682,1.0,4.0,chexpert,707269
resdepth,0.6804305829201072,0.75,0.0,chexpert,664805
resdepth,0.6844610883494273,0.75,0.0,chexpert,664805
resdepth,0.6905276945256834,0.75,0.0,chexpert,664805
resdepth,0.6830095636969874,0.75,0.0,chexpert,664805
resdepth,0.6881877561317404,0.75,0.0,chexpert,664805
resdepth,0.6900507174310364,0.75,0.0,chexpert,664805
resdepth,0.6871021713529524,0.75,0.0,chexpert,664805
resdepth,0.6862448991058164,0.75,0.0,chexpert,664805
resdepth,0.6889617959311034,0.75,0.0,chexpert,664805
resdepth,0.6908994150732797,0.75,0.0,chexpert,664805
resdepth,0.6877481954427894,0.75,0.0,chexpert,664805
resdepth,0.6857858410091949,0.75,0.0,chexpert,664805
resdepth,0.6842566189770191,0.75,0.0,chexpert,664805
resdepth,0.6874924699466491,0.75,0.0,chexpert,664805
resdepth,0.6890847460090063,0.75,0.0,chexpert,664805
resdepth,0.6744476976668896,0.75,2.0,chexpert,614981
resdepth,0.6800179447837383,0.75,2.0,chexpert,614981
resdepth,0.6835814957862107,0.75,2.0,chexpert,614981
resdepth,0.6768325888753539,0.75,2.0,chexpert,614981
resdepth,0.6752163500553625,0.75,2.0,chexpert,614981
resdepth,0.6828988825546742,0.75,2.0,chexpert,614981
resdepth,0.6712329567563952,0.75,2.0,chexpert,614981
resdepth,0.6828546169090132,0.75,2.0,chexpert,614981
resdepth,0.6751518138625283,0.75,2.0,chexpert,614981
resdepth,0.6745253639625874,0.75,2.0,chexpert,614981
resdepth,0.68568541680774,0.75,2.0,chexpert,614981
resdepth,0.6784240548119085,0.75,2.0,chexpert,614981
resdepth,0.6749116790974067,0.75,2.0,chexpert,614981
resdepth,0.6725026685629205,0.75,2.0,chexpert,614981
resdepth,0.678136214730279,0.75,2.0,chexpert,614981
resdepth,0.6403533726836003,0.25,5.0,chexpert,163573
resdepth,0.6394665667673344,0.25,5.0,chexpert,163573
resdepth,0.6446333631846921,0.25,5.0,chexpert,163573
resdepth,0.6508952283212507,0.25,5.0,chexpert,163573
resdepth,0.6521026735893445,0.25,5.0,chexpert,163573
resdepth,0.6473701638498411,0.25,5.0,chexpert,163573
resdepth,0.6479708243689598,0.25,5.0,chexpert,163573
resdepth,0.6476980409087073,0.25,5.0,chexpert,163573
resdepth,0.6409165140467815,0.25,5.0,chexpert,163573
resdepth,0.6458217307629698,0.25,5.0,chexpert,163573
resdepth,0.6407506878160703,0.25,5.0,chexpert,163573
resdepth,0.642706049218501,0.25,5.0,chexpert,163573
resdepth,0.6503258856262744,0.25,5.0,chexpert,163573
resdepth,0.651041076260632,0.25,5.0,chexpert,163573
resdepth,0.6406139747740623,0.25,5.0,chexpert,163573
resdepth,0.6918334052840139,1.0,1.0,chexpert,661381
resdepth,0.6882897260203733,1.0,1.0,chexpert,661381
resdepth,0.6887641916301103,1.0,1.0,chexpert,661381
resdepth,0.6861597709126522,1.0,1.0,chexpert,661381
resdepth,0.6907549618179918,1.0,1.0,chexpert,661381
resdepth,0.6871373161991136,1.0,1.0,chexpert,661381
resdepth,0.6859855807766468,1.0,1.0,chexpert,661381
resdepth,0.6894791725200615,1.0,1.0,chexpert,661381
resdepth,0.6921414824367571,1.0,1.0,chexpert,661381
resdepth,0.6930005293044207,1.0,1.0,chexpert,661381
resdepth,0.6926865386209418,1.0,1.0,chexpert,661381
resdepth,0.6953362797217824,1.0,1.0,chexpert,661381
resdepth,0.6852442507115708,1.0,1.0,chexpert,661381
resdepth,0.6900092771535296,1.0,1.0,chexpert,661381
resdepth,0.6930143940520997,1.0,1.0,chexpert,661381
resdepth,0.6582588987526663,0.5,5.0,chexpert,366053
resdepth,0.6705769856360079,0.5,5.0,chexpert,366053
resdepth,0.6595798186040316,0.5,5.0,chexpert,366053
resdepth,0.6609606970804676,0.5,5.0,chexpert,366053
resdepth,0.6596681263512161,0.5,5.0,chexpert,366053
resdepth,0.6626344379625253,0.5,5.0,chexpert,366053
resdepth,0.6590373283075264,0.5,5.0,chexpert,366053
resdepth,0.6666946085547127,0.5,5.0,chexpert,366053
resdepth,0.6645847541511863,0.5,5.0,chexpert,366053
resdepth,0.6626264502187583,0.5,5.0,chexpert,366053
resdepth,0.6591182828805595,0.5,5.0,chexpert,366053
resdepth,0.6629073034053162,0.5,5.0,chexpert,366053
resdepth,0.6626303201304682,0.5,5.0,chexpert,366053
resdepth,0.6591521991536006,0.5,5.0,chexpert,366053
resdepth,0.664434994948879,0.5,5.0,chexpert,366053
resdepth,0.6537671521123507,0.25,1.0,chexpert,165477
resdepth,0.6528898869962774,0.25,1.0,chexpert,165477
resdepth,0.6569737885326427,0.25,1.0,chexpert,165477
resdepth,0.6516978475074887,0.25,1.0,chexpert,165477
resdepth,0.6560611451093307,0.25,1.0,chexpert,165477
resdepth,0.6542693488720304,0.25,1.0,chexpert,165477
resdepth,0.6531176085398307,0.25,1.0,chexpert,165477
resdepth,0.6589482489746902,0.25,1.0,chexpert,165477
resdepth,0.6599461864069779,0.25,1.0,chexpert,165477
resdepth,0.6530376767511068,0.25,1.0,chexpert,165477
resdepth,0.6576219329709343,0.25,1.0,chexpert,165477
resdepth,0.6527722123807771,0.25,1.0,chexpert,165477
resdepth,0.655447815144739,0.25,1.0,chexpert,165477
resdepth,0.652705804011775,0.25,1.0,chexpert,165477
resdepth,0.6584114265963409,0.25,1.0,chexpert,165477
resdepth,0.6704513207829924,0.75,1.0,chexpert,625445
resdepth,0.6795361444124787,0.75,1.0,chexpert,625445
resdepth,0.677124977358651,0.75,1.0,chexpert,625445
resdepth,0.6810351359261804,0.75,1.0,chexpert,625445
resdepth,0.6811466116443119,0.75,1.0,chexpert,625445
resdepth,0.6705598933631822,0.75,1.0,chexpert,625445
resdepth,0.6718450713595933,0.75,1.0,chexpert,625445
resdepth,0.6761388957228236,0.75,1.0,chexpert,625445
resdepth,0.6755105709130478,0.75,1.0,chexpert,625445
resdepth,0.6686932029690251,0.75,1.0,chexpert,625445
resdepth,0.6769661572970735,0.75,1.0,chexpert,625445
resdepth,0.6741239536393033,0.75,1.0,chexpert,625445
resdepth,0.6745096124008636,0.75,1.0,chexpert,625445
resdepth,0.6752068162186843,0.75,1.0,chexpert,625445
resdepth,0.6697469297503729,0.75,1.0,chexpert,625445
resdepth,0.6549158532982039,0.25,0.0,chexpert,170405
resdepth,0.6552824199168927,0.25,0.0,chexpert,170405
resdepth,0.657574626107671,0.25,0.0,chexpert,170405
resdepth,0.6558333364829767,0.25,0.0,chexpert,170405
resdepth,0.655082257312581,0.25,0.0,chexpert,170405
resdepth,0.6557538418573131,0.25,0.0,chexpert,170405
resdepth,0.6561763254939204,0.25,0.0,chexpert,170405
resdepth,0.6451388088941181,0.25,0.0,chexpert,170405
